Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
170,Pablo Fornals,es ESP,FWMF,West Ham,26-349,1996,18,11,960,10.7,1,0,1,1,0,0,0,0,0.8,0.8,1.1,1.9,19,48,65,0.09,0,0.09,0.09,0.09,0.08,0.1,0.18,0.08,0.18,Matches,82927de4
171,Adam Forshaw,eng ENG,MF,Leeds United,31-121,1991,5,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,8,0,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches,9f1938ab
172,Fraser Forster,eng ENG,GK,Tottenham,34-326,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c3e39f12
173,Tyrese Francois,au AUS,FW,Fulham,22-205,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,6722d4f0
174,Ryan Fraser,sct SCO,FW,Newcastle Utd,28-347,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23,0,0,0,0,0,0.09,0.11,0.2,0.09,0.2,Matches,d56543a0
175,Fred,br BRA,MF,Manchester Utd,29-338,1993,18,6,673,7.5,2,0,2,2,0,0,4,0,1.4,1.4,1.1,2.5,6,38,27,0.27,0,0.27,0.27,0.27,0.19,0.15,0.33,0.19,0.33,Matches,b853e0ad
176,Ryan Fredericks,eng ENG,DF,Bournemouth,30-119,1992,8,5,451,5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,11,14,23,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,c067631c
177,Remo Freuler,ch SUI,MF,Nott'ham Forest,30-297,1992,17,15,1371,15.2,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,5,36,5,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,98d2c2c4
178,Cody Gakpo,nl NED,FW,Liverpool,23-275,1999,3,3,255,2.8,0,0,0,0,0,0,0,0,1,1,0.1,1.1,4,6,17,0,0,0,0,0,0.35,0.05,0.4,0.35,0.4,Matches,1971591f
179,Conor Gallagher,eng ENG,MFFW,Chelsea,23-000,2000,19,10,829,9.2,1,1,2,1,0,0,6,1,0.9,0.9,2.1,3,20,53,43,0.11,0.11,0.22,0.11,0.22,0.1,0.22,0.32,0.1,0.32,Matches,c2731c10
180,Idrissa Gana Gueye,sn SEN,MF,Everton,33-133,1989,16,15,1221,13.6,0,1,1,0,0,0,3,0,0,0,0.7,0.7,15,49,9,0,0.07,0.07,0,0.07,0,0.05,0.05,0,0.05,Matches,72c812f3
181,Alejandro Garnacho,es ESP,FW,Manchester Utd,18-220,2004,10,2,270,3,1,2,3,1,0,0,2,0,0.9,0.9,1,1.9,19,5,46,0.33,0.67,1,0.33,1,0.31,0.33,0.64,0.31,0.64,Matches,7aa8adfe
182,James Garner,eng ENG,MF,Everton,21-330,2001,6,0,142,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,4e015693
183,David de Gea,es ESP,GK,Manchester Utd,32-091,1990,21,21,1890,21,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,7ba6d84e
184,Joe Gelhardt,eng ENG,FW,Leeds United,20-278,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,0.8,0.8,0.5,1.3,2,6,21,0,0.85,0.85,0,0.85,0.36,0.2,0.55,0.36,0.55,Matches,01962d0d
185,Saman Ghoddos,ir IRN,MFFW,Brentford,29-153,1993,9,0,90,1,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,5,2,0,0,0,0,0,0.05,0.23,0.27,0.05,0.27,Matches,f7b1d4e0
186,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-010,2000,2,2,180,2,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12,0,0,0,0,0,0.36,0.04,0.4,0.36,0.4,Matches,32f60ed8
187,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-010,2000,18,17,1466,16.3,2,4,6,2,0,0,1,0,3.1,3.1,4.7,7.8,33,69,93,0.12,0.25,0.37,0.12,0.37,0.19,0.29,0.48,0.19,0.48,Matches,32f60ed8
188,Billy Gilmour,sct SCO,MF,Brighton,21-240,2001,7,2,163,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,17,3,0,0,0,0,0,0.12,0.05,0.17,0.12,0.17,Matches,df10e27c
189,Degnand Gnonto,it ITA,FWMF,Leeds United,19-093,2003,9,7,627,7,1,1,2,1,0,0,2,0,1.2,1.2,1.1,2.3,33,13,66,0.14,0.14,0.29,0.14,0.29,0.17,0.16,0.33,0.17,0.33,Matches,75fdd638
190,Ben Godfrey,eng ENG,DF,Everton,25-022,1998,4,3,211,2.3,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,0,5,0,0,0,0,0,0,0.47,0.04,0.5,0.47,0.5,Matches,9f7c837d
191,Toti Gomes,pt POR,DF,Wolves,24-021,1999,7,3,310,3.4,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,7,2,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,f0caab96
192,Joe Gomez,eng ENG,DF,Liverpool,25-259,1997,17,11,1106,12.3,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,10,83,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,7a11550b
193,Sergio Gómez,es ESP,DFMF,Manchester City,22-155,2000,5,0,111,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2,7,12,0,0.81,0.81,0,0.81,0.11,0.33,0.44,0.11,0.44,Matches,01e5f06e
194,Anthony Gordon,eng ENG,FW,Newcastle Utd,21-347,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,3,0,0,0,0,0,0.33,0.31,0.64,0.33,0.64,Matches,2bd83368
195,Anthony Gordon,eng ENG,FW,Everton,21-347,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,3.3,0.6,3.9,28,19,67,0.25,0,0.25,0.25,0.25,0.27,0.05,0.32,0.27,0.32,Matches,2bd83368
196,Demarai Gray,eng ENG,FWMF,Everton,26-223,1996,20,19,1679,18.7,3,1,4,2,1,1,1,0,3.7,2.9,2.7,5.6,66,38,129,0.16,0.05,0.21,0.11,0.16,0.2,0.14,0.34,0.15,0.3,Matches,4468ec10
197,Jack Grealish,eng ENG,FW,Manchester City,27-149,1995,15,11,1040,11.6,2,3,5,2,0,0,1,0,2.7,2.7,3.6,6.3,79,41,159,0.17,0.26,0.43,0.17,0.43,0.23,0.31,0.55,0.23,0.55,Matches,b0b4fd3e
198,Sam Greenwood,eng ENG,MFFW,Leeds United,21-011,2002,11,2,317,3.5,1,2,3,1,0,0,1,0,0.6,0.6,0.8,1.5,5,11,5,0.28,0.57,0.85,0.28,0.85,0.18,0.24,0.42,0.18,0.42,Matches,f3354c07
199,Pascal Groß,de GER,MFDF,Brighton,31-236,1991,20,20,1731,19.2,6,3,9,6,0,0,2,0,3.3,3.3,5.1,8.4,27,133,118,0.31,0.16,0.47,0.31,0.47,0.17,0.27,0.44,0.17,0.44,Matches,8aec0537
200,Vicente Guaita,es ESP,GK,Crystal Palace,36-027,1987,21,21,1890,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,ab13a5aa
201,Gonçalo Guedes,pt POR,FWMF,Wolves,26-069,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,1.2,0.5,1.7,20,16,54,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22,Matches,e6bc67d7
202,Marc Guéhi,eng ENG,DF,Crystal Palace,22-208,2000,20,20,1800,20,0,0,0,0,0,0,7,0,0.5,0.5,0.2,0.7,7,64,2,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,Matches,d0706b27
203,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-082,1997,17,17,1397,15.5,3,3,6,3,0,0,3,0,0.9,0.9,1.8,2.7,17,110,12,0.19,0.19,0.39,0.19,0.39,0.06,0.12,0.17,0.06,0.17,Matches,82518f62
204,İlkay Gündoğan,de GER,MF,Manchester City,32-105,1990,18,14,1252,13.9,2,2,4,2,0,0,0,0,3.3,3.3,2.5,5.8,32,101,77,0.14,0.14,0.29,0.14,0.29,0.24,0.18,0.42,0.24,0.42,Matches,819b3158
205,Darko Gyabi,eng ENG,FW,Leeds United,18-353,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.72,0,0.72,0.72,0.72,Matches,56d838f7
206,Erling Haaland,no NOR,FW,Manchester City,22-200,2000,20,19,1636,18.2,25,3,28,21,4,4,3,0,16.9,13.7,3,16.7,19,34,92,1.38,0.17,1.54,1.16,1.32,0.93,0.16,1.09,0.76,0.92,Matches,1f44ac21
207,Lewis Hall,eng ENG,DFMF,Chelsea,18-151,2004,5,4,304,3.4,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,10,9,19,0,0,0,0,0,0.14,0.08,0.22,0.14,0.22,Matches,da011f18
208,Luke Harris,wls WAL,MFFW,Fulham,17-309,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,8c3078cd
209,Jack Harrison,eng ENG,FWMF,Leeds United,26-078,1996,18,16,1266,14.1,1,4,5,1,0,0,2,0,2.4,2.4,2.5,4.9,56,51,133,0.07,0.28,0.36,0.07,0.36,0.17,0.18,0.35,0.17,0.35,Matches,aa849a12
210,Kai Havertz,de GER,FWMF,Chelsea,23-240,1999,20,18,1501,16.7,5,1,6,5,0,0,3,0,6.1,6.1,1.4,7.5,33,49,127,0.3,0.06,0.36,0.3,0.36,0.37,0.08,0.45,0.37,0.45,Matches,fed7cb61
211,Jan Paul van Hecke,nl NED,DF,Brighton,22-243,2000,2,1,80,0.9,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,3,9,0,0,0,0,0,0,0.67,0,0.67,0.67,0.67,Matches,4fd08daa
212,Hwang Hee-chan,kr KOR,FW,Wolves,27-011,1996,17,9,690,7.7,0,1,1,0,0,0,1,0,0.4,0.4,1,1.5,16,19,35,0,0.13,0.13,0,0.13,0.06,0.13,0.19,0.06,0.19,Matches,169fd162
213,Dean Henderson,eng ENG,GK,Nott'ham Forest,25-331,1997,18,18,1620,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e5a76dfe
214,Jordan Henderson,eng ENG,MF,Liverpool,32-234,1990,17,10,919,10.2,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,20,83,25,0,0,0,0,0,0.06,0.11,0.17,0.06,0.17,Matches,935e6b8f
215,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-013,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,76eca7e2
216,Rico Henry,eng ENG,DF,Brentford,25-213,1997,20,20,1795,19.9,0,2,2,0,0,0,0,0,0.6,0.6,1.5,2.1,31,59,68,0,0.1,0.1,0,0.1,0.03,0.07,0.1,0.03,0.1,Matches,8a3c1dc7
217,Son Heung-min,kr KOR,MFFW,Tottenham,30-213,1992,20,19,1638,18.2,4,3,7,4,0,0,1,0,4.9,4.9,3.4,8.3,53,42,122,0.22,0.16,0.38,0.22,0.38,0.27,0.19,0.46,0.27,0.46,Matches,92e7e919
218,Aaron Hickey,sct SCO,DF,Brentford,20-241,2002,10,9,739,8.2,0,0,0,0,0,0,4,0,0.1,0.1,0,0.1,22,32,25,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches,1780bb4a
219,Joseph Hodge,ie IRL,MF,Wolves,20-145,2002,5,1,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,7,4,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches,bd8a5d95
220,Pierre Højbjerg,dk DEN,MF,Tottenham,27-185,1995,21,21,1871,20.8,4,3,7,4,0,0,2,0,1.5,1.5,2.2,3.7,27,135,52,0.19,0.14,0.34,0.19,0.34,0.07,0.11,0.18,0.07,0.18,Matches,8b04d6c1
221,Rob Holding,eng ENG,DF,Arsenal,27-139,1995,6,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,d79a8c87
222,Mason Holgate,eng ENG,DF,Everton,26-107,1996,4,3,320,3.6,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,4,9,2,0,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches,d0042ab9
223,Will Hughes,eng ENG,MF,Crystal Palace,27-295,1995,15,2,321,3.6,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,4,13,9,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches,a0666d3e
224,Omari Hutchinson,eng ENG,FW,Chelsea,19-099,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,bd9553e6
225,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-126,1996,15,2,367,4.1,2,3,5,2,0,0,0,0,2.4,2.4,1.9,4.4,11,8,38,0.49,0.74,1.23,0.49,1.23,0.6,0.47,1.07,0.6,1.07,Matches,c92e1a31
226,Danny Ings,eng ENG,FW,West Ham,30-198,1992,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,2,2,0,0,0,0,0,0.23,0.57,0.8,0.23,0.8,Matches,07802f7f
227,Danny Ings,eng ENG,FW,Aston Villa,30-198,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,5,15,12,46,0.66,0,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,Matches,07802f7f
228,Alexander Isak,se SWE,FW,Newcastle Utd,23-138,1999,5,3,284,3.2,3,0,3,2,1,1,0,0,3.2,2.4,0.5,2.9,4,5,17,0.95,0,0.95,0.63,0.63,1.01,0.15,1.16,0.76,0.91,Matches,8e92be30
229,Alex Iwobi,ng NGA,MF,Everton,26-279,1996,21,21,1872,20.8,1,5,6,1,0,0,2,0,1.3,1.3,3,4.2,38,101,81,0.05,0.24,0.29,0.05,0.29,0.06,0.14,0.2,0.06,0.2,Matches,6ca5ec4b
230,Daniel James,wls WAL,FW,Leeds United,25-088,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,3,9,0,0,0,0,0,0.12,0.15,0.27,0.12,0.27,Matches,c931d9f9
231,Daniel James,wls WAL,FW,Fulham,25-088,1997,12,3,360,4,1,0,1,1,0,0,0,0,1.3,1.3,0.3,1.6,15,12,27,0.25,0,0.25,0.25,0.25,0.33,0.08,0.41,0.33,0.41,Matches,c931d9f9
232,Reece James,eng ENG,DFMF,Chelsea,23-060,1999,9,8,670,7.4,1,1,2,1,0,0,3,0,0.8,0.8,1.6,2.4,29,43,67,0.13,0.13,0.27,0.13,0.27,0.11,0.21,0.32,0.11,0.32,Matches,1265a93a
233,Vitaly Janelt,de GER,MFDF,Brentford,24-272,1998,21,14,1349,15,2,1,3,2,0,0,1,0,1.9,1.9,0.8,2.7,10,44,15,0.13,0.07,0.2,0.13,0.2,0.13,0.05,0.18,0.13,0.18,Matches,8449d35e
234,Pontus Jansson,se SWE,DF,Brentford,31-358,1991,7,6,515,5.7,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,Matches,172e52d8
235,Mathias Jensen,dk DEN,MF,Brentford,27-036,1996,21,21,1585,17.6,3,4,7,3,0,0,3,0,1.3,1.3,2.1,3.3,14,72,40,0.17,0.23,0.4,0.17,0.4,0.07,0.12,0.19,0.07,0.19,Matches,0f134faf
236,Gabriel Jesus,br BRA,FW,Arsenal,25-309,1997,14,14,1219,13.5,5,5,10,5,0,0,4,0,7.7,7.7,2.8,10.6,30,38,122,0.37,0.37,0.74,0.37,0.74,0.57,0.21,0.78,0.57,0.78,Matches,b66315ae
237,Raúl Jiménez,mx MEX,FW,Wolves,31-277,1991,7,3,325,3.6,0,0,0,0,0,0,0,0,1.6,1.6,0.5,2.1,4,6,19,0,0,0,0,0,0.43,0.13,0.57,0.43,0.57,Matches,b561db50
238,Joelinton,br BRA,MFFW,Newcastle Utd,26-176,1996,19,18,1600,17.8,2,1,3,2,0,0,8,0,3.2,3.2,1.8,5.1,40,78,102,0.11,0.06,0.17,0.11,0.17,0.18,0.1,0.28,0.18,0.28,Matches,c17bfb65
239,Ben Johnson,eng ENG,DF,West Ham,23-013,2000,9,6,543,6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,8,23,9,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,9319781b
240,Brennan Johnson,wls WAL,FW,Nott'ham Forest,21-259,2001,21,19,1706,19,5,2,7,4,1,2,4,0,5.9,4.3,2.6,6.9,50,23,91,0.26,0.11,0.37,0.21,0.32,0.31,0.14,0.45,0.23,0.37,Matches,0cd31129
241,Curtis Jones,eng ENG,MFFW,Liverpool,22-007,2001,6,1,189,2.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,6,17,16,0,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,4fb9c88f
242,Mathias Jørgensen,dk DEN,DF,Brentford,32-289,1990,13,8,745,8.3,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,1,22,1,0,0,0,0,0,0.06,0.01,0.06,0.06,0.06,Matches,0db5d2c8
243,Jorginho,it ITA,MF,Arsenal,31-048,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches,45db685d
244,Jorginho,it ITA,MF,Chelsea,31-048,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,0.5,13,80,10,0.14,0,0.14,0,0,0.12,0.03,0.14,0.01,0.03,Matches,45db685d
245,Diogo Jota,pt POR,FWMF,Liverpool,26-064,1996,4,2,196,2.2,0,1,1,0,0,0,1,0,0.8,0.8,0.8,1.6,8,9,18,0,0.46,0.46,0,0.46,0.35,0.38,0.73,0.35,0.73,Matches,178ae8f8
246,Hamed Junior Traorè,ci CIV,FW,Bournemouth,22-355,2000,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,570bb4b9
247,James Justin,eng ENG,DF,Leicester City,24-348,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20,47,50,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches,fb614c44
248,Sasa Kalajdzic,at AUT,FW,Wolves,25-214,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,1,0,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches,15f24fe7
249,Boubacar Kamara,fr FRA,MF,Aston Villa,23-075,1999,15,14,1195,13.3,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,11,68,6,0,0.08,0.08,0,0.08,0.01,0.02,0.04,0.01,0.04,Matches,cc77354e
250,Harry Kane,eng ENG,FW,Tottenham,29-193,1993,22,22,1965,21.8,17,1,18,15,2,3,4,0,12.9,10.5,3.4,14,38,105,122,0.78,0.05,0.82,0.69,0.73,0.59,0.16,0.75,0.48,0.64,Matches,21a66f6a
251,N'Golo Kanté,fr FRA,MF,Chelsea,31-314,1991,2,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,7,9,7,0,0,0,0,0,0.05,0.13,0.18,0.05,0.18,Matches,b9fbae28
252,Michael Keane,eng ENG,DF,Everton,30-026,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c5b7c315
253,Neeskens Kebano,cd COD,FW,Fulham,30-333,1992,12,9,713,7.9,0,3,3,0,0,0,0,0,0.5,0.5,1.4,1.8,37,21,63,0,0.38,0.38,0,0.38,0.06,0.17,0.23,0.06,0.23,Matches,18b999f4
254,Thilo Kehrer,de GER,DF,West Ham,26-138,1996,16,16,1395,15.5,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,11,34,20,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,51dbeea9
255,Naby Keïta,gn GUI,MF,Liverpool,27-361,1995,6,2,247,2.7,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.3,4,15,20,0,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches,f25c8e3a
256,Lloyd Kelly,eng ENG,DF,Bournemouth,24-123,1998,10,10,900,10,0,2,2,0,0,0,2,0,0.1,0.1,0.1,0.3,4,15,1,0,0.2,0.2,0,0.2,0.01,0.01,0.03,0.01,0.03,Matches,f31def1e
257,Max Kilman,eng ENG,DF,Wolves,25-259,1997,21,21,1890,21,0,0,0,0,0,0,3,0,0.8,0.8,0,0.9,17,76,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,d0f72bf1
258,Mateusz Klich,pl POL,MFFW,Leeds United,32-238,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5,16,21,0,0,0,0,0,0.05,0.06,0.12,0.05,0.12,Matches,282679b4
259,Robin Koch,de GER,DF,Leeds United,26-204,1996,19,19,1662,18.5,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,7,61,4,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches,ea6bc03a
260,Ibrahima Konaté,fr FRA,DF,Liverpool,23-257,1999,5,4,382,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,12,2,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,5ed9b537
261,Ezri Konsa,eng ENG,DF,Aston Villa,25-106,1997,21,20,1792,19.9,0,0,0,0,0,0,3,0,0.6,0.6,0.5,1,5,25,8,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,0313a347
262,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-231,1991,14,12,1115,12.4,2,0,2,2,0,0,5,1,0.8,0.8,0.4,1.2,9,54,3,0.16,0,0.16,0.16,0.16,0.06,0.03,0.09,0.06,0.09,Matches,da974c7b
263,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,33-047,1989,12,9,704,7.8,1,0,1,1,0,0,2,0,0.3,0.3,0.6,1,6,16,8,0.13,0,0.13,0.13,0.13,0.04,0.08,0.12,0.04,0.12,Matches,8d3c902d
264,Mateo Kovačić,hr CRO,MF,Chelsea,28-276,1994,15,7,835,9.3,0,1,1,0,0,0,3,0,0.4,0.4,1.1,1.6,20,76,10,0,0.11,0.11,0,0.11,0.05,0.12,0.17,0.05,0.17,Matches,79c0821a
265,Emil Krafth,se SWE,DF,Newcastle Utd,28-188,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,77cf6852
266,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-287,2000,14,12,1054,11.7,2,5,7,2,0,0,0,0,1.3,1.3,2.7,4,53,37,106,0.17,0.43,0.6,0.17,0.6,0.11,0.23,0.34,0.11,0.34,Matches,df3cda47
267,Layvin Kurzawa,fr FRA,DF,Fulham,30-155,1992,3,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,Matches,41e7ef1c
268,Adam Lallana,eng ENG,MFFW,Brighton,34-272,1988,16,12,722,8,2,1,3,2,0,0,0,0,0.9,0.9,1,1.9,10,33,43,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,Matches,99813635
269,Tariq Lamptey,gh GHA,DF,Brighton,22-129,2000,17,2,394,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,24,23,50,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,f4e433d4
270,Manuel Lanzini,ar ARG,MFFW,West Ham,29-356,1993,5,1,126,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,12,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,26f6dca8
271,Aymeric Laporte,es ESP,DF,Manchester City,28-255,1994,5,4,376,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,12,28,2,0,0,0,0,0,0.04,0.03,0.08,0.04,0.08,Matches,119b9a8e
272,Juan Larios,es ESP,DF,Southampton,19-025,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,Matches,cf7fb13a
273,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-087,1993,4,1,107,1.2,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,450ab6fc
274,Roméo Lavia,be BEL,MF,Southampton,19-031,2004,12,10,805,8.9,1,0,1,1,0,0,4,0,0.2,0.2,0.2,0.4,3,33,8,0.11,0,0.11,0.11,0.11,0.02,0.02,0.05,0.02,0.05,Matches,ecad9aa5
275,Dexter Lembikisa,jm JAM,DF,Wolves,19-094,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,Matches,0bdda685
276,Mario Lemina,ga GAB,MF,Wolves,29-158,1993,3,2,166,1.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,6,2,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,Matches,2b471f99
277,Clément Lenglet,fr FRA,DF,Tottenham,27-234,1995,13,11,935,10.4,0,2,2,0,0,0,2,0,0.6,0.6,0.6,1.2,14,41,5,0,0.19,0.19,0,0.19,0.06,0.06,0.12,0.06,0.12,Matches,4f28a6ff
278,Bernd Leno,de GER,GK,Fulham,30-339,1992,20,20,1800,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2628fd2b
279,Jefferson Lerma,co COL,MFDF,Bournemouth,28-104,1994,21,21,1883,20.9,2,0,2,2,0,0,3,0,1.3,1.3,0.5,1.8,13,67,17,0.1,0,0.1,0.1,0.1,0.06,0.02,0.09,0.06,0.09,Matches,9b5ce51a
280,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-012,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,efb9215a
281,Rico Lewis,eng ENG,DFMF,Manchester City,18-077,2004,9,5,453,5,0,0,0,0,0,0,1,0,0,0,0.8,0.8,17,21,10,0,0,0,0,0,0.01,0.16,0.16,0.01,0.16,Matches,b57e066e
282,Keane Lewis-Potter,eng ENG,FWMF,Brentford,21-349,2001,9,3,306,3.4,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,8,4,35,0,0.29,0.29,0,0.29,0.14,0.37,0.51,0.14,0.51,Matches,41f08ac8
