Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
83,Timothy Castagne,be BEL,DF,Leicester City,27-063,1995,20,19,1731,19.2,1,2,3,1,0,0,2,0,1.6,1.6,1.3,2.9,24,55,98,0.05,0.1,0.16,0.05,0.16,0.09,0.07,0.15,0.09,0.15,Matches,197640fd
84,Jonny Castro,es ESP,DF,Wolves,28-340,1994,14,11,1012,11.2,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,22,61,37,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,e28868f3
85,Julio César Enciso,py PAR,FWMF,Brighton,19-014,2004,5,0,131,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,6,3,8,0,0,0,0,0,0.36,0.05,0.4,0.36,0.4,Matches,9cfbad36
86,Nathaniel Chalobah,eng ENG,MF,Fulham,28-056,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches,422862ea
87,Trevoh Chalobah,eng ENG,DF,Chelsea,23-216,1999,12,11,971,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,8,32,8,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Matches,5515376c
88,Calum Chambers,eng ENG,DFMF,Aston Villa,28-017,1995,4,1,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,dc6f5bdd
89,Ben Chilwell,eng ENG,DFMF,Chelsea,26-047,1996,10,4,426,4.7,1,1,2,1,0,0,1,0,0.3,0.3,0.2,0.6,13,11,37,0.21,0.21,0.42,0.21,0.42,0.07,0.05,0.12,0.07,0.12,Matches,d2424d1b
90,Ryan Christie,sct SCO,MFFW,Bournemouth,27-349,1995,19,12,1036,11.5,1,0,1,1,0,0,1,0,1.6,1.6,1,2.6,21,46,37,0.09,0,0.09,0.09,0.09,0.14,0.09,0.22,0.14,0.22,Matches,26ce2263
91,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-109,2003,8,1,202,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,10,13,0,0,0,0,0,0.13,0.05,0.18,0.13,0.18,Matches,b2f9c73e
92,Bobby Clark,eng ENG,MF,Liverpool,17-364,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches,73341ace
